,brand,product,price,rating,rating_counts,link,material_info
191,IX IMPRESSION,Women Solid Leather Mini Pencil Skirt,1119,"4
|
28","|
28",https://www.myntra.com/skirts/ix-impression/ix-impression-women-brown-solid-leather-mini-pencil-skirt/16338042/buy,"Leather
Dry Clean"
192,Athena,Women Shorts,689,"4.3
|
86","|
86",https://www.myntra.com/shorts/athena/athena-women-green-shorts/17256458/buy,"Polyester
Hand wash"
193,DOLCE CRUDO,Over The Knee Denim Stretchable Pencil Mini Skirt,944,"4.2
|
145","|
145",https://www.myntra.com/skirts/dolce-crudo/dolce-crudo-black-over-the-knee-denim-stretchable-pencil-mini-skirt/11659702/buy,"78% Cotton, 21% Polyester and 1% Elastane
Machine-wash cold with like colors
Wash inside out
Do not tumble dry
Do not bleach"
194,SASSAFRAS,Pure Cotton Corduroy A-Line Skirt,559,"4.1
|
1k","|
1k",https://www.myntra.com/skirts/sassafras/sassafras-black-corduroy-pure-cotton-a-line-skirt/12288126/buy,"100% Cotton
Machine-wash"
195,Athena,Women Regular Fit Shorts,415,"4.2
|
2.3k","|
2.3k",https://www.myntra.com/shorts/athena/athena-women-black-solid-regular-fit-shorts/12035320/buy,"Material: Polyester
Machine Wash"
196,Nike,Women ESSNTL MR BIKER Shorts,1525,"4.5
|
156","|
156",https://www.myntra.com/shorts/nike/nike-women-black-solid-nsw-essntl-mr-biker-shorts/14120008/buy,"61% Cotton, 33% polyester and 6% elastane
Machine wash"
197,H&M,Linen-Blend Shorts,1124,"4.2
|
29","|
29",https://www.myntra.com/shorts/hm/hm-women-black-solid-linen-blend-shorts/18746998/buy,"45% Linen, 55% Viscose
Machine wash"
198,HERE&NOW,Solid A-Line Denim Skirt,949,"4.1
|
38","|
38",https://www.myntra.com/skirts/herenow/herenow-women-dark-blue-solid-a-line-denim-skirt/16611508/buy,"77 % Cotton +21 % Polyester +2 % Elastane
Machine-wash"
199,FableStreet,Mini Pencil Skirt,1496,"4.1
|
82","|
82",https://www.myntra.com/skirts/fablestreet/fablestreet-black-mini-pencil-skirt/14011652/buy,"Nylon Rayon knit
Machine wash with similar colours
Do not bleach
Do not iron
Do not tumble dry"
200,FableStreet,Mini Pencil Skirt,1496,"4.1
|
82","|
82",https://www.myntra.com/skirts/fablestreet/fablestreet-black-mini-pencil-skirt/14011652/buy,"Nylon Rayon knit
Machine wash with similar colours
Do not bleach
Do not iron
Do not tumble dry"
201,Vero Moda,Women Solid A-Line Skirt,1749,,,https://www.myntra.com/skirts/vero-moda/vero-moda-women-green-solid-a-line-skirt/20454554/buy,"Cotton blend
Machine Wash"
202,Popwings,Women Above Knee-Length Pencil Skirts,584,"4.4
|
51","|
51",https://www.myntra.com/skirts/popwings/popwings-women-above-knee-length-black-pencil-skirts/18215396/buy,"Regular machine wash, do not wash with colorful clothes, no chlorine"
203,NEUDIS,Women Printed Flared Maxi Lehenga Skirt,1595,"4.2
|
59","|
59",https://www.myntra.com/skirts/neudis/neudis-women-yellow--green-floral-printed-flared-maxi-lehenga-skirt/17255450/buy,"100% Polyester (Organza)
Hand Wash"
204,NEUDIS,Women Solid Flared Maxi Lehenga Skirt,1349,"4.4
|
17","|
17",https://www.myntra.com/skirts/neudis/neudis-women-black-solid-flared-maxi-lehenga-skirt/19463074/buy,"Polyester Net
Hand-wash"
205,Berrylush,Floral Roman Column Skirt,434,"4.3
|
135","|
135",https://www.myntra.com/skirts/berrylush/berrylush-white-floral-roman-column-skirt/18416274/buy,"Polycrepe
Machine Wash"
206,Tokyo Talkies,Mini A-Line Skirt,683,"4.1
|
432","|
432",https://www.myntra.com/skirts/tokyo-talkies/tokyo-talkies-black-mini-a-line-skirt/13275224/buy,"98% Cotton, 2% Lycra
Machine wash"
207,H&M,Women Solid Glittery skirt,1034,"4.2
|
27","|
27",https://www.myntra.com/skirts/hm/hm-women-beige-solid-glittery-skirt/16519162/buy,"100% Polyester
Machine wash"
208,U&F,Women Plus Size Maxi Skirt,666,"4
|
57","|
57",https://www.myntra.com/skirts/uf/uf-women-plus-size-black-solid-pleated-maxi-skirt/20015508/buy,"Polyester
Machine Wash"
209,Uptownie Lite,Satin Accordion Pleated Skirt,839,"3.7
|
77","|
77",https://www.myntra.com/skirts/uptownie-lite/uptownie-lite-women-green-satin-accordion-pleated-skirt/17944736/buy,"Satin
Machine wash
Very easy to maintain."
210,SASSAFRAS,Midi A-Line Pure Cotton Skirt,769,"4.4
|
995","|
995",https://www.myntra.com/skirts/sassafras/sassafras-dusty-pink-midi-a-line-pure-cotton-skirt/7687290/buy,"100% cotton
Machine-wash"
211,Tokyo Talkies,Women Solid Slim-Fit A-Line Skirt,1311,"4.3
|
90","|
90",https://www.myntra.com/skirts/tokyo-talkies/tokyo-talkies-women-black-solid-slim-fit-a-line-skirt/15953990/buy,"Faux Leather
Machine Wash"
212,Berrylush,Women Floral High-Slit Skirt,379,"4.3
|
188","|
188",https://www.myntra.com/skirts/berrylush/berrylush-women-green--red-floral-high-slit-midi-a-line-skirt/17605300/buy,"Polycrepe
Machine Wash"
213,Roadster,Women Regular Fit Denim Shorts,714,"4.5
|
273","|
273",https://www.myntra.com/shorts/roadster/roadster-women-blue-washed-regular-fit-denim-shorts/10967462/buy,"99% Cotton and 1% elastane
Machine-wash"
214,Kazo,Women Solid Pencil Mini Skirts,1245,,,https://www.myntra.com/skirts/kazo/kazo-women-copper-solid-pencil-mini-skirts/19859490/buy,"Polyester
Mild Wash"
215,DressBerry,A-line High-Rise Denim Skirt,849,,,https://www.myntra.com/skirts/dressberry/dressberry-blue-solid-pure-cotton-a-line-high-rise-denim-skirt-with-belt/17773958/buy,"100% Cotton
Machine wash"
216,MANGO,Women High-Rise Denim Shorts,1196,"3.9
|
16","|
16",https://www.myntra.com/shorts/mango/mango-women-black-high-rise-denim-shorts/18233718/buy,"100% Cotton
Machine wash"
217,MANGO,Women Mini Straight Skirt,1854,"4.6
|
12","|
12",https://www.myntra.com/skirts/mango/mango-women-beige--black-woven-design-houndstooth-mini-straight-skirt/19813592/buy,"Composition 34% Polyester, 34% Viscose, 30% Recycled polyester, 2% Elastane
Lining: 100% Polyester

Machine Wash"
218,FableStreet,Animal Printed Flared Midi Skirt,1721,"4.3
|
318","|
318",https://www.myntra.com/skirts/fablestreet/fablestreet-brown--beige-animal-printed-flared-midi-skirt/13774432/buy,"Polyester
Hand-wash"
219,N-Gal,High Waist Pencil Skirt,449,"4.1
|
445","|
445",https://www.myntra.com/skirts/n-gal/n-gal-black-high-waist-pencil-skirt/13252464/buy,"Polyester and Lycra blend
Machine wash"
220,Marie Claire,Women High-Slit A-Line Skirt,759,"4.3
|
99","|
99",https://www.myntra.com/skirts/marie-claire/marie-claire-women-peach-coloured-abstract-print-ruched-detail-high-slit-a-line-skirt/16588662/buy,"Poly georgette
Machine-wash"
