,brand,product,price,rating,rating_counts,link,material_info
921,Nautica,Men Colourblocked Polo Collar Pure Cotton T-shirt,1259,"4.5
|
53","|
53",https://www.myntra.com/tshirts/nautica/nautica-men-white--teal-green-colourblocked-polo-collar-pure-cotton-t-shirt/13802446/buy,"100% Cotton
Machine wash"
922,U.S. Polo Assn.,Men Striped Polo Collar Slim Fit T-shirt,1139,"4.9
|
12","|
12",https://www.myntra.com/tshirts/us-polo-assn/u-s-polo-assn-men-navy-blue--white-striped-polo-collar-pure-cotton-slim-fit-t-shirt/20093928/buy,"100% Cotton
Machine Wash"
923,Roadster,Men Striped Polo Collar T-shirt,274,"3.9
|
2.7k","|
2.7k",https://www.myntra.com/tshirts/roadster/roadster-men-maroon--black-striped-polo-collar-pure-cotton-t-shirt/2303538/buy,"100% cotton
Machine-wash"
924,Kook N Keech Superman,Printed Round Neck Pure Cotton T-shirt,494,"3.6
|
1.2k","|
1.2k",https://www.myntra.com/tshirts/kook-n-keech-superman/kook-n-keech-superman-men-white-printed-round-neck-pure-cotton-t-shirt/10283867/buy,"100% Cotton
Machine-wash"
925,Huetrap,Graphic Cotton T-shirt,449,"4
|
825","|
825",https://www.myntra.com/tshirts/huetrap/huetrap-men-navy-blue-graphic-printed-cotton-t-shirt/2352554/buy,"Cotton
Machine-wash"
926,Mast & Harbour,Cotton Chest Pocket T-shirt,279,"4
|
1.6k","|
1.6k",https://www.myntra.com/tshirts/mast--harbour/mast--harbour-men-mustard-yellow-cotton-t-shirt-with-chest-pocket/2232081/buy,"Cotton
Machine-wash"
927,Roadster,Men Pure Cotton T-shirt,349,,,https://www.myntra.com/tshirts/roadster/the-roadster-life-co-men-polo-collar-pure-cotton-t-shirt/20789166/buy,"100% Cotton,
Machine-wash"
928,Louis Philippe,Polo Collar T-shirt,1139,"4.6
|
568","|
568",https://www.myntra.com/tshirts/louis-philippe/louis-philippe-men-yellow-polo-collar-t-shirt/14047668/buy,"52%Cotton, 45%polyester and 3%spandex
Machine-wash"
929,Tommy Hilfiger,Men Brand Logo Boxy T-shirt,1399,"3.4
|
11","|
11",https://www.myntra.com/tshirts/tommy-hilfiger/tommy-hilfiger-men-yellow-solid-brand-logo-boxy-pure-cotton-casual-t-shirt/18819918/buy,"100% Cotton
Machine Wash"
930,Hypernation,Men Turtle Neck Slim Fit T-shirt,791,"4.1
|
12","|
12",https://www.myntra.com/tshirts/hypernation/hypernation-men-white-turtle-neck-slim-fit-cotton-t-shirt/19858488/buy,"Cotton
Machine wash"
931,Puma,Men Brand Logo Printed Polo Collar Slim Fit T-shirt,1264,"4.1
|
36","|
36",https://www.myntra.com/tshirts/puma/puma-men-pink-brand-logo-printed-polo-collar-pure-cotton-slim-fit-t-shirt/16848182/buy,"100% Cotton
machine wash"
932,Being Human,Men Solid Pure Cotton T-shirt,359,"4.8
|
12","|
12",https://www.myntra.com/tshirts/being-human/being-human-men-solid-pure-cotton-t-shirt/20606482/buy,"100% Cotton 
Machine Wash"
933,HERE&NOW,Printed Pure Cotton T-shirt,279,"4.3
|
3.7k","|
3.7k",https://www.myntra.com/tshirts/herenow/herenow-men-teal-blue-printed--pure-cotton-t-shirt/9376237/buy,"100% Cotton
Machine-wash"
934,Nautica,Men Brand Logo Cotton Pure Cotton T-shirt,799,"4.6
|
153","|
153",https://www.myntra.com/tshirts/nautica/nautica-men-navy-blue-brand-logo-print-round-neck-pure-cotton-t-shirt/13802442/buy,"100% Cotton
Machine wash"
935,Jack & Jones,Men Striped Cotton T-shirt,1499,,,https://www.myntra.com/tshirts/jack--jones/jack--jones-men-striped-cotton-t-shirt/21172712/buy,"Cotton
Machine Wash"
936,The Souled Store,Men Solid Oversized T-shirt,944,,,https://www.myntra.com/tshirts/the-souled-store/the-souled-store-men-burgundy-solid-cotton-oversized-t-shirt/17214846/buy,"cotton
Machine Wash"
937,Levis,Men Printed Polo Collar T-shirt,1799,"4.2
|
12","|
12",https://www.myntra.com/tshirts/levis/levis-men-blue-printed-polo-collar-t-shirt/18984204/buy,"100% Cotton
Machine-wash"
938,Roadster,Striped Round Neck Pure Cotton T-shirt,299,"4.1
|
813","|
813",https://www.myntra.com/tshirts/roadster/roadster-men-orange--black-striped-round-neck-pure-cotton-t-shirt/12117120/buy,"Material: 100% cotton
Machine Wash"
939,HIGHLANDER,Men Printed Slim Fit T-shirt,304,"4.3
|
39","|
39",https://www.myntra.com/tshirts/highlander/highlander-men-black-printed-slim-fit-t-shirt/20145684/buy,"Polyester
Machine Wash"
940,ADIDAS,Men Solid Club Polo T-shirt,999,"4
|
13","|
13",https://www.myntra.com/tshirts/adidas/adidas-men-lime-green-solid-club-polo-t-shirt/13743918/buy,"Polyester
Machine wash"
941,WROGN,Slim Fit Cotton T-shirt,974,"4.2
|
723","|
723",https://www.myntra.com/tshirts/wrogn/wrogn-men-black-polo-collar-slim-fit-cotton-t-shirt/6833174/buy,"Cotton
Machine-wash"
942,Peter England Casuals,Men Polo Collar T-shirt,494,"4.3
|
23","|
23",https://www.myntra.com/tshirts/peter-england-casuals/peter-england-casuals-men-black-polo-collar-t-shirt/20010464/buy,"60% Cotton and 40% Polyester
Machine wash"
