,brand,product,price,rating,rating_counts,link,material_info
91,Anouk,Men Printed Kurta with Trousers,1149,"3.5
|
11","|
11",https://www.myntra.com/kurta-sets/anouk/anouk-men-bandhani-printed-pure-cotton-kurta-with-trousers/19050688/buy,"Top fabric: Pure Cotton
Bottom fabric: Pure Cotton
Machine wash"
92,Manyavar,Men Pure Cotton Solid Kurta,1049,"4.1
|
52","|
52",https://www.myntra.com/kurtas/manyavar/manyavar-men-mustard-yellow-pure-cotton-solid-kurta/12945800/buy,"Material: 100% Cotton
Dry Clean"
93,VASTRAMAY,Men Solid Cotton Pyjamas,493,"4.4
|
267","|
267",https://www.myntra.com/pyjamas/vastramay/vastramay-men-white-solid-cotton-pyjamas/19696686/buy,"Cotton
Dry Clean"
94,IVOC,Men Printed Straight Kurta,835,"4.4
|
800","|
800",https://www.myntra.com/kurtas/ivoc/ivoc-men-maroon--off-white-printed-straight-kurta/11268872/buy,"Material: 100% Cotton
Machine Wash"
95,House of Pataudi,Men Bandhgala Jashn Blazer,3199,"4.2
|
6","|
6",https://www.myntra.com/blazers/house-of-pataudi/house-of-pataudi-men-yellow--white-printed-bandhgala-jashn-blazer/17478206/buy,"100% Cotton
Dry Clean"
96,Anouk,Men Printed Kurta with Trousers,999,"3.9
|
14","|
14",https://www.myntra.com/kurta-sets/anouk/anouk-men-pure-cotton-floral-printed-kurta-with-trousers/19055832/buy,"100% Cotton
Machine Wash"
97,Anouk,Men Bandhani Printed Kurta,849,"4.5
|
65","|
65",https://www.myntra.com/kurtas/anouk/anouk-men-green--white-bandhani-printed-pure-cotton--kurta/18331836/buy,"100% Cotton
Machine wash"
98,SHRESTHA BY VASTRAMAY,Men Self-Design Slim-Fit Bandhgala Ethnic Blazers,2559,,,https://www.myntra.com/blazers/shrestha-by-vastramay/shrestha-by-vastramay-men-self-design-slim-fit-bandhgala-ethnic-blazers/21127274/buy,"Polyviscose
Dry Clean"
99,hangup trend,Men Solid Sherwani Set,3299,"2.9
|
7","|
7",https://www.myntra.com/sherwani/hangup-trend/hangup-trend-men-white-solid-sherwani-set/19916042/buy,"Polyester
Dry Clean"
100,SOJANYA,Men Kurta with Pyjamas,1884,"3.9
|
25","|
25",https://www.myntra.com/kurta-sets/sojanya/sojanya-men-maroon-ethnic-motifs-kurta-with-pyjamas--nehru-jacket/17327082/buy,"Kurta & Nehrujacket: Silk Blend (80% Silk, 20% Cotton), Bottom: 100% Cotton
Machine Wash"
