,brand,product,price,rating,rating_counts,link,material_info
691,Van Heusen,Custom Fit Cotton Formal Shirt,799,"3.9
|
8","|
8",https://www.myntra.com/shirts/van-heusen/van-heusen-men-grey--red-custom-fit-ditsy-floral-printed-pure-cotton-formal-shirt/19856118/buy,"100% Cotton
Machine Wash"
692,Louis Philippe,Solid Slim Fit Casual Shirt,1994,,,https://www.myntra.com/shirts/louis-philippe/louis-philippe-teal-blue-solid-band-collar-slim-fit-casual-shirt/18745572/buy,"97% Cotton, 3% Elastane
Machine wash"
693,Peter England,Checked Slim Fit Formal Shirt,959,,,https://www.myntra.com/shirts/peter-england/peter-england-tartan-checked-slim-fit-formal-shirt/19471954/buy,"60% Cotton, 40% Polyester
Machine wash"
694,Hancock,Self-Design Slim Formal Shirt,799,,,https://www.myntra.com/shirts/hancock/hancock-men-grey-self-design-slim-fit-french-cuff-formal-shirt/19118770/buy,"Polycotton
Machine-wash"
695,Louis Philippe Ath.Work,Slim Fit Formal Shirt,1409,"2.8
|
6","|
6",https://www.myntra.com/shirts/louis-philippe-athwork/louis-philippe-ath-work-men-white-super-slim-fit-formal-shirt/15409336/buy,"70% Cotton, 27%Nylon and 3%Spandex
Gentle Wash"
696,Louis Philippe,Men Pure Cotton Formal Shirt,2719,,,https://www.myntra.com/shirts/louis-philippe/louis-philippe-men-light-pink-classic-pure-cotton-vertical-striped-formal-shirt/20646920/buy,"100% Cotton
Machine Wash"
697,Louis Philippe,Men Slim Fit Formal Shirt,2079,,,https://www.myntra.com/shirts/louis-philippe/louis-philippe-men-beige--white-slim-fit-gingham-checks-pure-cotton-formal-shirt/19092226/buy,"100% Premium Cotton
Gentle Wash Only"
698,Blackberrys,Pure Cotton Slim Formal Shirt,1426,"4.5
|
8","|
8",https://www.myntra.com/shirts/blackberrys/blackberrys-men-teal-blue--white-pure-cotton-slim-fit-printed-formal-shirt/19024212/buy,"100% Cotton
Machine-wash"
699,Peter England,Formal Shirt,1039,,,https://www.myntra.com/shirts/peter-england/peter-england-men-green-tartan-checks-checked-formal-shirt/20074620/buy,"60% Cotton and 40% Polyester
Machine wash"
700,MANQ,Formal Shirt,799,"4.8
|
5","|
5",https://www.myntra.com/shirts/manq/manq-men-green-smart-formal-shirt/18602092/buy,"Cotton Rich
Machine wash warm, wash dark colors separately, do not bleach, tumble dry low, warm iron"
701,JAINISH,Classic Slim Fit Formal Shirt,559,"3.9
|
83","|
83",https://www.myntra.com/shirts/jainish/jainish-men-teal-blue-classic-slim-fit-solid-formal-shirt/11785818/buy,"Material: 70% Cotton, 30% Polyester
Machine Wash"
702,Van Heusen,Men Pure Cotton Formal Shirt,1999,,,https://www.myntra.com/shirts/van-heusen/van-heusen-men-slim-fit-checked-pure-cotton-formal-shirt/19482054/buy,"100% Cotton,
Machine-wash"
703,Blackberrys,Slim Fit Formal Shirt,1916,,,https://www.myntra.com/shirts/blackberrys/blackberrys-men-maroon-slim-fit-formal-shirt/19389186/buy,"100%Cotton
Machine Wash "
704,Peter England,Men Pure Cotton Formal Shirt,839,"4.4
|
23","|
23",https://www.myntra.com/shirts/peter-england/peter-england-men-blue-solid-slim-fit-pure-cotton-formal-shirt/19438294/buy,"100% Cotton
Machine-wash"
