,brand,product,price,rating,rating_counts,link,material_info
29,FableStreet,Women Straight Fit Formal Trousers,2096,"4.2
|
798","|
798",https://www.myntra.com/trousers/fablestreet/fablestreet-women-black-straight-fit-formal-trousers/10242711/buy,"Polyester
Dry-clean"
30,H&M,Flared Trousers,1724,"4.4
|
39","|
39",https://www.myntra.com/trousers/hm/hm-flared-trousers/20515556/buy,"2% Elastane, 80% Polyester, 12% Viscose
Line dry
Only non-chlorine bleach when needed
Machine wash at 40deg
Medium iron
No dry clean
Wash with similar colours"
31,FableStreet,Women Straight Fit High-Rise Trousers,2156,"4.4
|
74","|
74",https://www.myntra.com/trousers/fablestreet/fablestreet-women-livin-air-straight-fit-high-rise-trousers/19123606/buy,LyocellHandwash only with similar colours.Do not bleach.Do not tumble dry.
32,KASSUALLY,Women Pleated Trousers,879,"4.1
|
79","|
79",https://www.myntra.com/trousers/kassually/kassually-women-black-pleated-trousers/20482832/buy,"Polyester
Machine Wash"
33,DressBerry,Women Trousers,539,"4.3
|
1.2k","|
1.2k",https://www.myntra.com/trousers/dressberry/dressberry-women-black-regular-mid-rise-trousers/10440512/buy,"95% Polyester, 5% elastane
Hand-wash"
34,Mast & Harbour,Women Formal Trousers,1099,"3.9
|
1.7k","|
1.7k",https://www.myntra.com/trousers/mast--harbour/mast--harbour-women-black-formal-trousers/1454592/buy,"65% polyester, 35% rayon
Machine-wash"
35,Marks & Spencer,Women Straight Fit High-Rise Parallel Trousers,1999,"4.3
|
158","|
158",https://www.myntra.com/trousers/marks--spencer/marks--spencer-women-black-solid-straight-fit-high-rise-parallel-trousers/15162512/buy,"67% Viscose, 30% polyester and 3%elastane
Machine wash"
36,SASSAFRAS,Women Graduated Flare Trousers,662,"4.4
|
2.6k","|
2.6k",https://www.myntra.com/trousers/sassafras/sassafras-women-black-smart-high-rise-graduated-flare-trousers/14994900/buy,"Nylon
Machine wash"
37,STREET 9,Women Cargos,804,"4.4
|
2.9k","|
2.9k",https://www.myntra.com/trousers/street-9/street-9-women-olive-green--brown-camouflage-print-cargos/12277606/buy,"Material: Cotton
Machine Wash"
38,DRAAX Fashions,Women Mid-Rise Formal Trousers,617,"3.8
|
305","|
305",https://www.myntra.com/trousers/draax-fashions/draax-fashions-women-black-mid-rise-formal-trousers/19323110/buy,"60% Cotton, 40% Polyester
Dry Clean"
39,KASSUALLY,Women Loose Fit Joggers,799,"4.5
|
30","|
30",https://www.myntra.com/trousers/kassually/kassually-women-loose-fit-joggers-/21085098/buy,"Polyester
Machine Wash"
40,BROADSTAR,Women Loose Fit High-Rise Cargos Trousers,989,"3.3
|
54","|
54",https://www.myntra.com/trousers/broadstar/broadstar-women-black-relaxed-straight-leg-loose-fit-high-rise-easy-wash-cargos-trousers/20887890/buy,"Viscose Rayon
Machine Wash"
41,BROADSTAR,Pleated High-Rise Trousers,1289,"3.7
|
540","|
540",https://www.myntra.com/trousers/broadstar/broadstar-women-black-relaxed-straight-leg-loose-fit-high-rise-easy-wash-pleated-trousers/19557886/buy,"Material : 90% Cotton, 5% Nylon, 5% Spandex.
Hand /Machine Wash"
42,H&M,Women Straight Cargo Trousers,2299,"3.8
|
6","|
6",https://www.myntra.com/trousers/hm/hm-women-straight-cargo-trousers/21285326/buy,"69% Cotton, 31% Viscose
Machine wash"
43,SASSAFRAS,Women High-Rise Trousers,1019,"4.4
|
56","|
56",https://www.myntra.com/trousers/sassafras/sassafras-women-black-high-rise-bootcut-trousers/20717712/buy,95% Polyester 5% Spandex
44,Tokyo Talkies,Women Tapered Fit Pleated Trousers,579,"3.9
|
450","|
450",https://www.myntra.com/trousers/tokyo-talkies/tokyo-talkies-women-black-tapered-fit-pleated-trousers/16607394/buy,POLY VISCOSE Machine wash
45,SASSAFRAS,Women Graduated Flare Trousers,679,"4.3
|
525","|
525",https://www.myntra.com/trousers/sassafras/sassafras-women-olive-green-high-rise-graduated-flare-trousers/14994880/buy,"Nylon
Machine wash"
46,H&M,Cropped Pull-On Trousers,844,"4.2
|
347","|
347",https://www.myntra.com/trousers/hm/hm-beige-cropped-pull-on-trousers/18254962/buy,"100% Viscose Rayon 
Machine wash"
47,SASSAFRAS,Women Denim Parallel Trousers,739,"4
|
9.5k","|
9.5k",https://www.myntra.com/trousers/sassafras/sassafras-women-blue-high-rise-denim-parallel-trousers/6532594/buy,"Cotton
Machine-wash"
48,BROADSTAR,Women Straight Fit High-Rise Trousers,1289,"4.4
|
661","|
661",https://www.myntra.com/trousers/broadstar/broadstar-women-black-straight-fit-high-rise-easy-wash-trousers/18878894/buy,"Material : Viscose Reyon, General Machine Wash"
49,Kotty,Women Straight Fit High-Rise Trousers,619,"3.9
|
351","|
351",https://www.myntra.com/trousers/kotty/kotty-women-maroon-relaxed-straight-fit-high-rise-easy-wash-trousers/18697444/buy,"98% Polyester & 2%Lycra
Machine wash"
50,Tokyo Talkies,Women Straight Fit Trousers,539,"3.4
|
423","|
423",https://www.myntra.com/trousers/tokyo-talkies/tokyo-talkies-women-beige-straight-fit-trousers/15454266/buy,"70% Polyester and 30% Viscose Rayon
Machine wash"
51,Athena,,639,"4.1
|
1.1k","|
1.1k",https://www.myntra.com/trousers/athena/athena-women-black-slim-fit-cigarette-trousers/12033128/buy,"Material: Polyester
Hand Wash"
52,Zastraa,Women High-Rise Parallel Trousers,989,"4.3
|
938","|
938",https://www.myntra.com/trousers/zastraa/zastraa-women-black-solid-high-rise-parallel-trousers/16109614/buy,"95% Polyester, 5% Spandex
Machine-wash"
53,FableStreet,Women Loose Fit Culottes,1796,"4.4
|
398","|
398",https://www.myntra.com/trousers/fablestreet/fablestreet-women-black-loose-fit-culottes/13780220/buy,"Material: Viscose Rayon
Machine Wash"
54,Zastraa,Women High-Rise Parallel Trousers,989,"4.2
|
744","|
744",https://www.myntra.com/trousers/zastraa/zastraa-women-burgundy-solid-high-rise-parallel-trousers/16109560/buy,"95% Polyester, 5% Spandex
Machine-wash"
55,Levis,Women Wide Leg Fit Chinos,2869,"4.6
|
41","|
41",https://www.myntra.com/trousers/levis/levis-women-beige-wide-leg-fit-high-rise-pleated-chinos/18903352/buy,"99% cotton 1% elastane
Machine wash"
56,FableStreet,Straight Fit Regular Trousers,1721,"4.6
|
133","|
133",https://www.myntra.com/trousers/fablestreet/fablestreet-livin-straight-fit-regular-trousers/13766264/buy,"Material: Viscose Rayon
Machine wash"
57,SASSAFRAS,Women Solid Y2K Cargo Trousers,923,"4
|
474","|
474",https://www.myntra.com/trousers/sassafras/sassafras-women-classic-white-solid-y2k-cargo-trousers/17511860/buy,100% Cotton
58,Zastraa,Women Slim Fit High-Rise Trousers,1279,"3.5
|
21","|
21",https://www.myntra.com/trousers/zastraa/zastraa-women-black-smart-slim-fit-high-rise-trousers/20516102/buy,"95% Polyester, 5% Spandex
Machine wash"
59,plusS,Women Solid Regular Trousers,536,"4.2
|
218","|
218",https://www.myntra.com/trousers/pluss/pluss-women-brown-solid-regular-trousers/16945160/buy,"Cotton
Machine Wash"
60,Tokyo Talkies,Women Regular Fit Parallel Trousers,619,"4.1
|
1.4k","|
1.4k",https://www.myntra.com/trousers/tokyo-talkies/tokyo-talkies-women-black-regular-fit-solid-parallel-trousers/13035300/buy,"Material: Polyester
Machine Wash"
61,Roadster,Women Regular Fit Trousers,874,"4
|
454","|
454",https://www.myntra.com/trousers/roadster/roadster-women-beige-regular-fit-high-rise-self-striped-trousers/13530930/buy,"Material: 98% Cotton and 2% LYCRA
Machine Wash"
62,MANGO,Women Sustainable Trousers,1992,"4.8
|
12","|
12",https://www.myntra.com/trousers/mango/mango-women-navy-blue-skinny-fit-sustainable-trousers/19998526/buy,"COMPOSITION: 76%VISCOSE,21%POLYAMIDE, 3%ELASTANE
LINING.: 80%POLYESTER ,20%COTTON
MACHINE WASH"
63,RARE,Women Parallel Trousers,759,"4.1
|
1.4k","|
1.4k",https://www.myntra.com/trousers/rare/rare-women-brown-parallel-trousers/10463330/buy,"Polyester
Hand-wash"
64,SASSAFRAS,Women Trousers,545,"4.1
|
6.2k","|
6.2k",https://www.myntra.com/trousers/sassafras/sassafras-women-olive-green--trousers/10856164/buy,"Polyester
Machine-wash"
65,Marks & Spencer,Women Culotte Trousers,2999,"4.3
|
135","|
135",https://www.myntra.com/trousers/marks--spencer/marks--spencer-women-white-culotte-trousers/16182954/buy,"100% polyester
machine wash"
66,H&M,Women Solid Joggers,1299,"4.4
|
193","|
193",https://www.myntra.com/trousers/hm/hm-women-grey-solid-joggers/16744516/buy,"76% Cotton, 24% Polyester
Machine wash"
67,H&M,Women Tailored Trousers,2499,,,https://www.myntra.com/trousers/hm/hm-women-tailored-trousers/21072564/buy,"79% Polyester, 21% Viscose
Machine Wash"
68,Tokyo Talkies,Women Straight Fit Trousers,539,"3.9
|
334","|
334",https://www.myntra.com/trousers/tokyo-talkies/tokyo-talkies-women-black-straight-fit-cropped-trousers/15953936/buy,"70% Poly , 30% Viscose
Machine Wash"
69,H&M,Twill Cargo Trousers,1699,,,https://www.myntra.com/trousers/hm/hm-women-pure-cotton-twill-cargo-trousers/21559838/buy,"100% Cotton
Machine Wash"
70,MANGO,Women Sustainable Trousers,1995,"4.5
|
13","|
13",https://www.myntra.com/trousers/mango/mango-women-teal-straight-fit-pleated-sustainable-trousers/20424128/buy,"Composition: 100% Polyester
Lining: 100% Polyester
Machine wash"
71,CODE by Lifestyle,Women High-Rise Trousers,1259,"4.3
|
38","|
38",https://www.myntra.com/trousers/code-by-lifestyle/code-by-lifestyle-women-black-high-rise-trousers/19850434/buy,Material: Viscose-Nylon; Machine Wash
72,Kotty,Women Straight Fit High-Rise Trousers,539,"3.9
|
77","|
77",https://www.myntra.com/trousers/kotty/kotty-women-navy-blue-relaxed-straight-fit-high-rise-easy-wash-trousers/18868280/buy,"98% Polyester & 2 Lycra,Machine wash"
73,KASSUALLY,Women Slim Fit Trousers,559,"3.9
|
4.4k","|
4.4k",https://www.myntra.com/trousers/kassually/kassually-women-black-original-slim-fit-self-design-cropped-trousers/10739550/buy,"Polyester
Hand-wash"
