,brand,product,price,rating,rating_counts,link,material_info
624,Nautica,Men Reversible Puffer Jacket,4499,,,https://www.myntra.com/jackets/nautica/nautica-men-solid-reversible-puffer-jacket/17561028/buy,"Outer shell: 100% Nylon
Lining fabric: 100% Nylon
Machine wash"
625,Allen Solly,Solid Tailored Jacket,1959,"4.1
|
60","|
60",https://www.myntra.com/jackets/allen-solly/allen-solly-men-charcoal-grey-solid-tailored-jacket/20360282/buy,"Outer shell: Polyester
Lining fabric: Polyester
Machine wash"
626,WROGN,Men Solid Biker Jacket,2349,"4
|
469","|
469",https://www.myntra.com/jackets/wrogn/wrogn-men-brown-solid-biker-jacket/10187273/buy,"Base: 82% polyester, 13% cotton and 5% viscose rayon
Lining: 100% polyester
Dry-clean"
627,H&M,Men Oversized Fit Fleece Top,2299,"4.7
|
13","|
13",https://www.myntra.com/sweatshirts/hm/hm-men-oversized-fit-fleece-top/21140818/buy,"100% Polyester
Machine wash"
628,Mast & Harbour,Men Tailored Jacket,1934,"3.9
|
26","|
26",https://www.myntra.com/jackets/mast--harbour/mast--harbour-men-brown-suede-tailored-jacket/18858406/buy,"Outer shell: Polyester
Lining fabric: Polyester
Machine wash"
629,ADIDAS,Q4 Fleece FZ Hooded Jacket,4199,"3.4
|
14","|
14",https://www.myntra.com/jackets/adidas/adidas-men-black-q4-fleece-full-zip-hooded-jacket/18527382/buy,"100% recycled polyester
Machine wash as per tag"
630,Nautica,Men Puffer Jacket,3999,,,https://www.myntra.com/jackets/nautica/nautica-men-colourblocked-puffer-jacket/17561082/buy,"Outer shell: 100% Nylon
Lining fabric:100% Polyester
Machine wash"
631,HIGHLANDER,Men Solid Sweatshirt,599,"4
|
538","|
538",https://www.myntra.com/sweatshirts/highlander/highlander-men-black--yellow-solid-sweatshirt/10720992/buy,"Cotton
Machine-wash"
632,Leather Retail,Men Faux Leather Biker Jacket,2199,"4.5
|
16","|
16",https://www.myntra.com/jackets/leather-retail/leather-retail-men-coffee-brown-faux-leather-biker-jacket/20338834/buy,"Faux Leather
Dry Clean"
633,Monte Carlo,Men Bomber Jacket,5895,,,https://www.myntra.com/jackets/monte-carlo/monte-carlo-men-bomber-jacket/21367888/buy,"Polyester 
Dry Clean"
634,Allen Solly Sport,Mock Collar Tailored Jacket,1749,"3.9
|
66","|
66",https://www.myntra.com/jackets/allen-solly-sport/allen-solly-sport-men-navy-blue-mock-collar-tailored-jacket/20479086/buy,"100% Polyester
Machine wash"
635,WROGN,Solid Slim Fit Biker Jacket,2499,"4
|
395","|
395",https://www.myntra.com/jackets/wrogn/wrogn-men-black-solid-slim-fit-biker-jacket/10187107/buy,"Shell: 100% Polyester
Coating: Polyurethane 
Lining: 100% polyester
Machine-wash"
636,Blackberrys,Mock Collar Tailored Jacket,2247,"3.2
|
16","|
16",https://www.myntra.com/jackets/blackberrys/blackberrys-men-navy-blue-mock-collar-tailored-jacket/19024420/buy,"100% Polyester
Dry clean"
637,LOCOMOTIVE,Men Solid Denim Jacket,853,"4.1
|
516","|
516",https://www.myntra.com/jackets/locomotive/locomotive-men-white-solid-denim-trucker-jacket/10722892/buy,"100% Cotton
Machine-wash"
638,Allen Solly Sport,Solid Tailored Jacket,1649,"4.1
|
89","|
89",https://www.myntra.com/jackets/allen-solly-sport/allen-solly-sport-men-mustard-brown-solid-tailored-jacket/20479032/buy,"Outer shell: 100% Polyester
Lining fabric: 100% Polyester
Machine wash"
639,Roadster,Men Tailored Jacket,1649,"4.1
|
138","|
138",https://www.myntra.com/jackets/roadster/the-roadster-lifestyle-life-co-men-tailored-jacket/14306616/buy,"Outer shell: Polyester
Lining fabric: Polyester
Machine wash"
640,Nike,Men Brand Logo Sporty Jacket,3225,"3.8
|
42","|
42",https://www.myntra.com/jackets/nike/nike-men-brand-logo-dri-fit-sc-hd-fz-energy-nfs-sporty-jacket/20073210/buy,"61% Cotton, 39% Polyester
Machine-wash"
641,Monte Carlo,Men Mock Collar Bomber Jacket,2940,,,https://www.myntra.com/jackets/monte-carlo/monte-carlo-men-mock-collar-bomber-jacket/21367806/buy,"Wool Blend
Dry clean"
642,U.S. Polo Assn. Denim Co.,Men Printed Sweatshirt,1799,"4.8
|
5","|
5",https://www.myntra.com/sweatshirts/us-polo-assn-denim-co/us-polo-assn-denim-co-men-black-brand-logo-printed-sweatshirt/19181714/buy,"80% Cotton, 15% Polyester and 5% Spandex
Machine Wash"
643,Allen Solly,Bomber Jacket,2099,"4.1
|
63","|
63",https://www.myntra.com/jackets/allen-solly/allen-solly-men-olive-green-bomber-jacket/20360300/buy,"Shell: 100% Polyester
Lining: 100% Polyester
Dry Clean"
644,H&M,Regular Fit Jersey top,799,"3.9
|
129","|
129",https://www.myntra.com/sweatshirts/hm/hm-men-white-regular-fit-jersey-top/19409792/buy,"100% Cotton
Machine Wash"
645,RARE RABBIT,Men Tailored Jacket,4999,,,https://www.myntra.com/jackets/rare-rabbit/rare-rabbit-men-mock-collar-tailored-jacket/21601330/buy,"Polyester
Hand Wash"
646,Puma,Power Cat FZ Sporty Jacket,3899,"3.7
|
14","|
14",https://www.myntra.com/jackets/puma/puma-men-black-power-cat-fz-hoodie-sporty-jacket/18981302/buy,"66% Polyester, 34% Cotton
Machine wash
Close All Fastenings
Use Only Mild Detergent
Wash with similar color"
647,GANT,Regular Fit Hooded Sweatshirt,10399,,,https://www.myntra.com/sweatshirts/gant/gant-men-grey-solid-regular-fit-hooded-sweatshirt/19268538/buy,"Cotton
Machine Wash"
