,brand,product,price,rating,rating_counts,link,material_info
659,MANGO,Women Pullover,1845,"4.9
|
10","|
10",https://www.myntra.com/sweaters/mango/mango-women-blue-pullover/19456612/buy,"COMPOSITION...:44%ACRYLIC,41%POLYAMIDE,15%ALPACA"
660,Roadster,Women Turtle Neck Pullover,699,"4.1
|
19","|
19",https://www.myntra.com/sweaters/roadster/the-roadster-lifestyle-co-women-white--navy-blue-striped-acrylic-turtle-neck-pullover/18241584/buy,"100% Acrylic
Machine wash"
661,STREET 9,Women Acrylic Ribbed Pullover,909,"4.1
|
26","|
26",https://www.myntra.com/sweaters/street-9/street-9-women-cream-coloured-acrylic-ribbed-pullover/15956054/buy,"100% Acrylic
Machine wash"
662,Roadster,Round Neck Sherpa Pullover,719,"4.5
|
44","|
44",https://www.myntra.com/sweatshirts/roadster/the-roadster-lifestyle-co-women-pink-round-neck-sherpa-pullover/19018884/buy,"100% Polyester
Machine wash"
663,Rute,Plus Size Fleece Sweatshirt,1539,"4.5
|
6","|
6",https://www.myntra.com/sweatshirts/rute/rute-women-blue-hooded-plus-size-fleece-sweatshirt/20807488/buy,"Fleece
Machine Wash"
664,STREET 9,Women Cable Knit Pullover,909,"4.5
|
81","|
81",https://www.myntra.com/sweaters/street-9/street-9-women-green-cable-knit-acrylic-pullover/15956076/buy,"100% Acrylic
Machine wash"
665,Cayman,Women Solid Woolen Cardigan,1468,"3.8
|
5","|
5",https://www.myntra.com/sweaters/cayman/cayman-women-pink-solid-woolen-cardigan/20653714/buy,Machine Wash
666,Puma,Women Brand Love Sweatshirt,2199,"4.6
|
37","|
37",https://www.myntra.com/sweatshirts/puma/puma-women-white-printed-brand-love-metallic-hoodie-sweatshirt/18982784/buy,"68% Cotton, 32% Polyester
Machine wash"
667,bebe,Brighter Basics Egret Pullover,2799,"4
|
25","|
25",https://www.myntra.com/sweaters/bebe/bebe-women-brighter-basics-egret-cable-knit-wrap-style-puff-sleeves-pullover/19485048/buy,"60% Cotton, 40% Polyester
Machine wash"
668,Roadster,Solid Sweatshirt,539,"4.2
|
375","|
375",https://www.myntra.com/sweatshirts/roadster/roadster-women-mustard-yellow-solid-sweatshirt/11991572/buy,"Material: 65% polyester, 35% viscose
Machine Wash"
669,H&M,Women Solid Cotton Sweatshirt,2999,,,https://www.myntra.com/sweatshirts/hm/hm-women-cotton-sweatshirt-/20225188/buy,"100% Cotton
Machine wash"
670,Vero Moda,Women Longline,1199,,,https://www.myntra.com/sweaters/vero-moda/vero-moda-women-beige-longline/19438184/buy,"Acrylic
Dry Clean"
671,MANGO,Women Sustainable Pullover,2793,"4.8
|
6","|
6",https://www.myntra.com/sweaters/mango/mango-women-yellow-solid-sustainable--pullover/20705166/buy,"62% Acrylic, 29% Polyamide, 9% Polyester
Hand-wash"
