,brand,product,price,rating,rating_counts,link,material_info
26,Indi INSIDE,Leheriya Kota Saree,999,"3.8
|
39","|
39",https://www.myntra.com/sarees/indi-inside/indi-inside-green--gold-toned-leheriya-gotta-patti-kota-saree/20928618/buy,Dry Clean Only
27,Mitera,Woven Design Banarasi Saree,1149,"4.2
|
10.9k","|
10.9k",https://www.myntra.com/sarees/mitera/mitera-magenta-silk-blend-woven-design-banarasi-saree/10430798/buy,"Saree fabric: silk blend
Blouse fabric: silk blend
Dry-clean"
28,Sangria,Floral Velvet Saree,1439,"4.5
|
486","|
486",https://www.myntra.com/sarees/sangria/sangria-black-floral-gotta-patti-velvet-saree/17328218/buy,"Saree: Georgette/Velvet, Blouse; Georgette
Dry Clean"
29,Mitera,Ethnic Motifs Banarasi Silk Blend Saree,1351,"4.3
|
1.4k","|
1.4k",https://www.myntra.com/sarees/mitera/mitera-brown--gold-coloured-ethnic-motifs-woven-design-silk-blend-banarasi-saree/14850348/buy,"Saree fabric: Silk Blend
Blouse fabric: Silk Blend
Dry clean"
30,House of Pataudi,Floral Banarasi Silk Blend Saree,4059,"4.2
|
245","|
245",https://www.myntra.com/sarees/house-of-pataudi/house-of-pataudi-red--gold-toned-floral-sequinned-silk-blend-banarasi-saree/14995546/buy,"Saree fabric: Silk Blend
Blouse fabric: Silk Blend
Dry clean"
31,Mitera,Solid Saree,1539,"3.9
|
103","|
103",https://www.myntra.com/sarees/mitera/mitera-solid-saree-with-embroidered-border/19813696/buy,"Saree fabric: Velvet
Blouse fabric: Velvet
Dry clean"
32,all about you,Woven Design Silk Blend Saree,1391,"4.3
|
805","|
805",https://www.myntra.com/sarees/all-about-you/all-about-you-purple-woven-design-silk-blend-saree/16336056/buy,"Saree fabric: Silk Blend
Blouse fabric: Silk Blend
Dry Clean"
33,Anouk,Floral Satin Saree,1784,"3.9
|
299","|
299",https://www.myntra.com/sarees/anouk/anouk-blue-floral-embroidered-satin-saree/16846726/buy,Satin
34,AVANTIKA FASHION,Kanjeevaram Pure Silk Saree,1199,,,https://www.myntra.com/sarees/avantika-fashion/avantika-fashion-zari-pure-silk-kanjeevaram-saree/21561226/buy,"Pure Silk
Hand Wash"
35,FABPIXEL,Embellished Pure Georgette Saree,4399,"4.2
|
12","|
12",https://www.myntra.com/sarees/fabpixel/fabpixel-green-embellished-sequinned-pure-georgette-saree/19920606/buy,"Soft Georgette Material with Sequins .
Dry Clean Only."
