,brand,product,price,rating,rating_counts,link,material_info
592,Kappa,Men Slim Fit Track Pants,799,"4.1
|
276","|
276",https://www.myntra.com/track-pants/kappa/kappa-charcoal-grey-slim-fit-track-pants/2114130/buy,"50% cotton, 50% polyester
Machine-wash"
593,HERE&NOW,Men Camouflage Updated Joggers,874,"4.1
|
68","|
68",https://www.myntra.com/track-pants/herenow/herenow-men-green-camouflage-updated-joggers/16040258/buy,"100% COTTON
Machine wash"
594,Calvin Klein Jeans,Men Side Taping Cargo Joggers,5999,,,https://www.myntra.com/track-pants/calvin-klein-jeans/calvin-klein-jeans-men-grey-solid-regular-fit-mid-rise-cargo-joggers-with-side-taping/19533274/buy,"68% Cotton, 32% Polyester
Hand wash"
595,Lacoste,Men Slim-Fit Joggers,4200,,,https://www.myntra.com/track-pants/lacoste/lacoste-men-slim-fit-joggers/21193824/buy,"84% Cotton 16% Polyester
Machine Wash"
596,ADIDAS Originals,Men Challenger Joggers,6999,"3.9
|
19","|
19",https://www.myntra.com/track-pants/adidas-originals/adidas-originals-men-black-challenger-joggers/18520498/buy,"52% cotton, 48% recycled polyester
Machine wash as per tag"
597,Tommy Hilfiger,Men Casual Track Pants,6999,"4.8
|
12","|
12",https://www.myntra.com/track-pants/tommy-hilfiger/tommy-hilfiger-men-olive-green-self-designed-mid-rise-casual-track-pants/16722456/buy,"87% Polyester, 12% Viscose, 1% Elastane
Machine Wash"
598,Antony Morato,Men Solid Cotton Track Pants,6999,,,https://www.myntra.com/track-pants/antony-morato/antony-morato-men-black-solid-cotton-track-pants/17766416/buy,"Cotton
Machine Wash"
599,Puma,Men Neymar Jr Track Pant,3499,,,https://www.myntra.com/track-pants/puma/puma-men-yellow-solid-neymar-jr-track-pant/19945214/buy,"Cotton
Machine wash"
600,Antony Morato,Men Solid Cotton Track Pants,6999,,,https://www.myntra.com/track-pants/antony-morato/antony-morato-men-black-solid-cotton-track-pants/17766416/buy,"Cotton
Machine Wash"
601,Puma,Men Neymar Jr Track Pant,3499,,,https://www.myntra.com/track-pants/puma/puma-men-yellow-solid-neymar-jr-track-pant/19945214/buy,"Cotton
Machine wash"
602,Reebok,Men WOR Elitage Track Pants,1399,"4.5
|
83","|
83",https://www.myntra.com/track-pants/reebok/reebok-men-black-workout-ready-elitage-solid-training-track-pants/11573842/buy,"Polyester 
Machine wash"
603,Jockey,Men Slim Fit Track Pants,1399,"4.4
|
243","|
243",https://www.myntra.com/track-pants/jockey/jockey-charcoal-grey-slim-fit-track-pants/1898597/buy,"Cotton rich
Machine wash"
604,Reebok Classic,Men Solid Joggers,1399,"4.3
|
22","|
22",https://www.myntra.com/track-pants/reebok-classic/reebok-classic-men-black-solid-brand-logo-printed-joggers/17002630/buy,"70% Cotton, 30% Polyester
Machine Wash"
605,IVOC,Men Cotton Slim Cargo Joggers,999,"4.6
|
35","|
35",https://www.myntra.com/track-pants/ivoc/ivoc-men-olive-green-camouflage-print-cotton-slim-fit-comfort-cargo-joggers/16787066/buy,"Cotton
Machine Wash"
606,Jockey,Men Solid Track Pants,999,"4.3
|
39","|
39",https://www.myntra.com/track-pants/jockey/jockey-men-olive-green-solid-track-pants/14503382/buy,"Cotton
Gentle Wash 40
Line dry in shade
Do Not Bleach
Tumble Dry Low
Medium Iron
Do Not Dry Clean
Wash inside out with like colours
Do not iron on label/embroidery/print."
607,Kook N Keech,Men Solid Track Pants,454,"4.1
|
77","|
77",https://www.myntra.com/track-pants/kook-n-keech/kook-n-keech-men-black-and-dark-grey-colourblocked-regular-track-pants/13916324/buy,"70% Cotton 30% Polyester
Machine-wash"
608,one8 x PUMA,Men Printed Track Pants,1499,"3.8
|
22","|
22",https://www.myntra.com/track-pants/one8-x-puma/one8-x-puma-men-blue-logo-printed-slim-fit-vk-piping-regular-track-pants/15267254/buy,"88% Cotton 12% Polyester
Machine-wash"
609,WROGN,Men Solid Slim Fit Joggers,1429,"4.4
|
95","|
95",https://www.myntra.com/track-pants/wrogn/wrogn-men-black-solid-slim-fit-joggers/13675174/buy,"100% cotton
Machine wash"
610,HRX by Hrithik Roshan,Men Training Track Pants,899,,,https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-jet-black-rapid-dry-solid-training-track-pants/17784174/buy,"Polyester Cotton
Machine Wash"
611,Hubberholme,Men Pack Of 2 Track Pants,899,"4.1
|
502","|
502",https://www.myntra.com/track-pants/hubberholme/hubberholme-men-pack-of-2-solid-track-pants/15008068/buy,"52% Cotton and 48% Polyester
Machine wash"
612,U.S. Polo Assn.,Men Straight-Fit Athletic Joggers,1374,,,https://www.myntra.com/track-pants/us-polo-assn/us-polo-assn-men-straight-fit-durable-athletic-joggers/21255548/buy,"95% Polyester, 5% Spandex
Machine wash"
613,WROGN ACTIVE,Men Solid Dry Pro Joggers,1399,"4.2
|
19","|
19",https://www.myntra.com/track-pants/wrogn-active/wrogn-active-men-black-solid-dry-pro-joggers-with-printed-detailing/13064234/buy,"100% Polyester
Machine-wash"
614,HERE&NOW,Men Printed Track Pants,431,"4.6
|
12","|
12",https://www.myntra.com/track-pants/herenow/herenow-men-black--yellow-printed-pure-cotton-track-pants/18131816/buy,"100% Cotton
Machine wash"
615,HRX by Hrithik Roshan,Men Running Track Pants,1319,,,https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-running-men-rapid-dry-solid-track-pants/17209740/buy,"Knit Track Pants
Fabric: 100% Polyester
Machine Wash"
616,United Colors of Benetton,Men Solid Cotton Joggers,2274,,,https://www.myntra.com/track-pants/united-colors-of-benetton/united-colors-of-benetton-men-grey-solid-cotton-joggers/19341772/buy,"Cotton
Machine Wash"
617,VIMAL JONNEY,Men Pack Of 2 Joggers,747,"4.1
|
33","|
33",https://www.myntra.com/track-pants/vimal-jonney/vimal-jonney-men-pack-of-2-joggers/16753748/buy,"52% Cotton and 48% polyester
Machine wash"
618,VIMAL JONNEY,Men Pack Of 2 Track Pants,747,"3.9
|
14","|
14",https://www.myntra.com/track-pants/vimal-jonney/vimal-jonney-men-pack-of-2-solid-track-pants/16753914/buy,"52% Cotton and 48% Polyester
Machine-wash"
619,Van Heusen,Men Track Pants,1399,"4.1
|
132","|
132",https://www.myntra.com/track-pants/van-heusen/van-heusen-athleisure-men-smart-tech-easy-stain-release-track-pants/2113566/buy,"60% cotton, 40% polyester
Machine-wash"
620,HERE&NOW,Men Printed Joggers,549,"3.9
|
23","|
23",https://www.myntra.com/track-pants/herenow/herenow-men-black-printed-joggers/15271796/buy,"100% Cotton
Machine wash"
621,HIGHLANDER,Men Solid Slim-Fit Track Pants,512,"4
|
697","|
697",https://www.myntra.com/track-pants/highlander/highlander-men-navy-blue-solid-slim-fit-track-pants/14067770/buy,"60% Cotton and 40% Polyester
Machine-wash"
622,Slazenger,Men Printed Running Joggers,799,"3.7
|
63","|
63",https://www.myntra.com/track-pants/slazenger/slazenger-men-black-brand-logo-detail-running-joggers/16115260/buy,"Knit track pants
Fabric: 100% Polyester
Machine wash"
