,brand,product,price,rating,rating_counts,link,material_info
560,Fitkin,Women Colourblocked High Neck T-shirt,999,"4.8
|
5","|
5",https://www.myntra.com/tshirts/fitkin/fitkin-women-pink--black-colourblocked-high-neck-t-shirt/19819488/buy,"80% Nylon and 20% Spandex
Machine Wash"
561,Marks & Spencer,Women Black Solid T-Shirt,999,"4
|
18","|
18",https://www.myntra.com/tshirts/marks--spencer/marks--spencer-women-black-solid-t-shirt/15161750/buy,"95% Cotton and 5% Elastane
Machine wash"
562,Bewakoof,Printed Cotton Loose T-shirt,499,"4.3
|
18","|
18",https://www.myntra.com/tshirts/bewakoof/bewakoof-women-purple-graphic-printed-drop-shoulder-sleeves-cotton-loose-t-shirt/19644802/buy,"Cotton
Machine Wash"
563,Globus,Women Printed Cotton T-shirt,399,,,https://www.myntra.com/tshirts/globus/globus-women-blue--black-printed-cotton-t-shirt/20791328/buy,"100% Cotton
Machine Wash"
564,HERE&NOW,Cotton Printed T-shirt,399,"4.3
|
25","|
25",https://www.myntra.com/tshirts/herenow/herenow-women-red-cotton-printed-drop-shoulder-sleeves-t-shirt/20326620/buy,100% cotton
565,Difference of Opinion,Women Printed Loose T-shirt,559,"4.2
|
152","|
152",https://www.myntra.com/tshirts/difference-of-opinion/difference-of-opinion-women-lavender--pink-printed-loose-t-shirt/16159668/buy,"100 % Cotton, Dry in Shade, Do Not Iron on the print. Wash with like colors"
566,Puma,Women V-Neck Applique T-shirt,899,"4.4
|
25","|
25",https://www.myntra.com/tshirts/puma/puma-women-lavender-solid-essential-v-neck-applique-t-shirt/18786600/buy,"50% Modal 50% Polyester
Machine-wash"
567,Puma,Women Polo Collar T-shirt,824,"4.6
|
77","|
77",https://www.myntra.com/tshirts/puma/puma-women-orange-solid-polo-collar-t-shirt/16755976/buy,"Shell: 97% Cotton & 3% Elastene
Rib: 96% Cotton & 4% Elastene
Machine wash"
568,HRX by Hrithik Roshan,Women 2 Rapid-Dry T-shirt,824,,,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-black--pink-2-rapid-dry-training-t-shirt/20485868/buy,"Top: 100 Polyester, Inner Tank Top: 88% Polyester, 12% Elastane, Machine Wash"
569,HERE&NOW,Cotton Floral Printed T-shirt,399,"4.2
|
29","|
29",https://www.myntra.com/tshirts/herenow/herenow-women-off-white--yellow-cotton-floral-printed-t-shirt/20326614/buy,100% cotton
570,Roadster,Striped Round Neck T-shirt,299,"4.2
|
1.9k","|
1.9k",https://www.myntra.com/tshirts/roadster/roadster-women-black-striped-round-neck-t-shirt/2312573/buy,"Cotton
Machine-wash"
571,HERE&NOW,Women Printed Cotton T-shirt,340,"3.2
|
21","|
21",https://www.myntra.com/tshirts/herenow/herenow-women-black--white-printed-pure-cotton-t-shirt/19863258/buy,"Pure Cotton
Machine wash"
572,DILLINGER,Women Typography Printed Loose T-shirt,599,"4.2
|
49","|
49",https://www.myntra.com/tshirts/dillinger/dillinger-women-white--maroon-typography-printed-pure-cotton-loose-t-shirt/19235332/buy,"100 % Cotton 
Machine Wash"
573,Puma,Women Brand Logo Printed T-shirt,999,"5
|
5","|
5",https://www.myntra.com/tshirts/puma/puma-women-white-run-logo-printed-t-shirt/18921912/buy,"65% Polyester, 35% Cotton
Machine wash"
574,HRX by Hrithik Roshan,Women Yoga Lycra Tshirts,479,"4.4
|
183","|
183",https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-solid-lycra-yoga-tshirts/11640322/buy,"92% Cotton and 8% elastane
Machine-wash"
575,ADIDAS Originals,Women Cotton Longline T-shirt,2124,"4.9
|
13","|
13",https://www.myntra.com/tshirts/adidas-originals/adidas-originals-x-andre-saraiva-women-off-white-printed-organic-cotton-longline-t-shirt/19186810/buy,"100% Organic Cotton
Machine wash"
576,MANGO,Women Solid T-shirt,1195,"4
|
44","|
44",https://www.myntra.com/tshirts/mango/mango-women-purple-solid-t-shirt/17969988/buy,"100% recycled polyester
Machine-wash"
577,Moda Rapido,Women Floral Printed T-shirt,499,"4.3
|
9","|
9",https://www.myntra.com/tshirts/moda-rapido/moda-rapido-women-floral-printed-drop-shoulder-sleeves-t-shirt/19915908/buy,"60% Cotton & 40% Polyester
Machine Wash"
578,Fleximaa,Women Polo Collar T-shirt,440,"4
|
6","|
6",https://www.myntra.com/tshirts/fleximaa/fleximaa-women-white-polo-collar-t-shirt/17787486/buy,"Cotton
Hand Wash"
